Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
15,4,0.5,0.556,0.25,1.667,0.5,0.694,0.55,0.617,0.263,2.222,0.55,0.854
15,5,0.5,0.556,0.25,1.667,0.5,0.694,0.55,0.617,0.263,2.222,0.55,0.854
15,6,0.5,0.556,0.25,1.667,0.5,0.694,0.55,0.617,0.263,2.222,0.55,0.854
16,1,1.3,0.0,1.625,1.333,0.0,0.852,1.638,0.0,2.153,1.689,0.0,1.105
16,2,1.16,0.0,1.665,1.22,0.22,0.853,1.445,0.0,2.221,1.528,0.268,1.094
16,3,1.3,0.0,1.625,1.333,0.0,0.852,1.638,0.0,2.153,1.689,0.0,1.105
16,4,1.3,0.0,1.625,1.333,0.0,0.852,1.638,0.0,2.153,1.689,0.0,1.105
16,5,1.3,0.0,1.625,1.333,0.0,0.852,1.638,0.0,2.153,1.689,0.0,1.105
16,6,1.3,0.0,1.625,1.333,0.0,0.852,1.638,0.0,2.153,1.689,0.0,1.105
17,1,0.4,0.556,0.625,2.222,0.5,0.861,0.432,0.617,0.703,3.21,0.55,1.1
17,2,0.4,0.556,0.625,2.222,0.5,0.861,0.432,0.617,0.703,3.21,0.55,1.1
17,3,0.54,0.496,0.665,1.822,0.52,0.809,0.614,0.547,0.755,2.614,0.574,1.018
17,4,0.4,0.556,0.625,2.222,0.5,0.861,0.432,0.617,0.703,3.21,0.55,1.1
17,5,0.4,0.556,0.625,2.222,0.5,0.861,0.432,0.617,0.703,3.21,0.55,1.1
17,6,0.4,0.556,0.625,2.222,0.5,0.861,0.432,0.617,0.703,3.21,0.55,1.1
18,1,0.1,1.556,0.625,1.667,0.5,0.889,0.102,2.04,0.703,2.222,0.55,1.081
18,2,0.1,1.556,0.625,1.667,0.5,0.889,0.102,2.04,0.703,2.222,0.55,1.081
18,3,0.1,1.556,0.625,1.667,0.5,0.889,0.102,2.04,0.703,2.222,0.55,1.081
18,4,0.1,1.556,0.625,1.667,0.5,0.889,0.102,2.04,0.703,2.222,0.55,1.081
18,5,0.1,1.556,0.625,1.667,0.5,0.889,0.102,2.04,0.703,2.222,0.55,1.081
18,6,0.1,1.556,0.625,1.667,0.5,0.889,0.102,2.04,0.703,2.222,0.55,1.081
19,1,1.3,1.444,0.875,1.222,0.875,1.143,1.638,1.862,1.028,1.521,1.028,1.166
19,2,1.3,1.444,0.875,1.222,0.875,1.143,1.638,1.862,1.028,1.521,1.028,1.166
19,3,1.3,1.444,0.875,1.222,0.875,1.143,1.638,1.862,1.028,1.521,1.028,1.166
19,4,1.3,1.444,0.875,1.222,0.875,1.143,1.638,1.862,1.028,1.521,1.028,1.166
19,5,1.3,1.444,0.875,1.222,0.875,1.143,1.638,1.862,1.028,1.521,1.028,1.166
19,6,1.3,1.444,0.875,1.222,0.875,1.143,1.638,1.862,1.028,1.521,1.028,1.166
2,1,0.3,1.333,0.5,2.111,0.75,0.999,0.318,1.689,0.55,3.002,0.862,1.195
2,2,0.3,1.333,0.5,2.111,0.75,0.999,0.318,1.689,0.55,3.002,0.862,1.195
2,3,0.3,1.333,0.5,2.111,0.75,0.999,0.318,1.689,0.55,3.002,0.862,1.195
2,4,0.3,1.333,0.5,2.111,0.75,0.999,0.318,1.689,0.55,3.002,0.862,1.195
2,5,0.3,1.333,0.5,2.111,0.75,0.999,0.318,1.689,0.55,3.002,0.862,1.195
2,6,0.3,1.333,0.5,2.111,0.75,0.999,0.318,1.689,0.55,3.002,0.862,1.195
20,1,0.6,1.111,0.5,2.0,0.25,0.892,0.672,1.358,0.55,2.8,0.263,1.087
20,2,0.6,1.111,0.5,2.0,0.25,0.892,0.672,1.358,0.55,2.8,0.263,1.087
20,3,0.6,1.111,0.5,2.0,0.25,0.892,0.672,1.358,0.55,2.8,0.263,1.087
20,4,0.5,1.111,0.46,1.7,0.39,0.832,0.558,1.358,0.504,2.35,0.437,1.011
20,5,0.6,1.111,0.5,2.0,0.25,0.892,0.672,1.358,0.55,2.8,0.263,1.087
20,6,0.6,1.111,0.5,2.0,0.25,0.892,0.672,1.358,0.55,2.8,0.263,1.087
21,1,0.7,1.222,0.375,1.778,0.625,0.94,0.798,1.521,0.403,2.41,0.703,1.065
21,2,0.7,1.222,0.375,1.778,0.625,0.94,0.798,1.521,0.403,2.41,0.703,1.065
21,3,0.7,1.222,0.375,1.778,0.625,0.94,0.798,1.521,0.403,2.41,0.703,1.065
21,4,0.7,1.222,0.375,1.778,0.625,0.94,0.798,1.521,0.403,2.41,0.703,1.065
21,5,0.7,1.222,0.375,1.778,0.625,0.94,0.798,1.521,0.403,2.41,0.703,1.065
21,6,0.7,1.222,0.375,1.778,0.625,0.94,0.798,1.521,0.403,2.41,0.703,1.065
22,1,0.9,0.778,1.125,2.111,1.0,1.183,1.062,0.899,1.378,3.002,1.2,1.276
22,2,0.9,0.778,1.125,2.111,1.0,1.183,1.062,0.899,1.378,3.002,1.2,1.276
22,3,0.9,0.778,1.125,2.111,1.0,1.183,1.062,0.899,1.378,3.002,1.2,1.276
22,4,0.9,0.778,1.125,2.111,1.0,1.183,1.062,0.899,1.378,3.002,1.2,1.276
22,5,0.9,0.778,1.125,2.111,1.0,1.183,1.062,0.899,1.378,3.002,1.2,1.276
22,6,0.9,0.778,1.125,2.111,1.0,1.183,1.062,0.899,1.378,3.002,1.2,1.276
23,1,0.7,0.222,0.75,1.333,0.875,0.776,0.798,0.232,0.862,1.689,1.028,0.854
23,2,0.7,0.222,0.75,1.333,0.875,0.776,0.798,0.232,0.862,1.689,1.028,0.854
23,3,0.7,0.222,0.75,1.333,0.875,0.776,0.798,0.232,0.862,1.689,1.028,0.854
23,4,0.7,0.222,0.75,1.333,0.875,0.776,0.798,0.232,0.862,1.689,1.028,0.854
23,5,0.7,0.222,0.75,1.333,0.875,0.776,0.798,0.232,0.862,1.689,1.028,0.854
23,6,0.7,0.222,0.75,1.333,0.875,0.776,0.798,0.232,0.862,1.689,1.028,0.854
24,1,1.2,0.444,0.25,1.889,0.25,0.807,1.488,0.484,0.263,2.602,0.263,1.033
24,2,1.2,0.444,0.25,1.889,0.25,0.807,1.488,0.484,0.263,2.602,0.263,1.033
24,3,1.2,0.444,0.25,1.889,0.25,0.807,1.488,0.484,0.263,2.602,0.263,1.033
24,4,1.2,0.444,0.25,1.889,0.25,0.807,1.488,0.484,0.263,2.602,0.263,1.033
24,5,1.2,0.444,0.25,1.889,0.25,0.807,1.488,0.484,0.263,2.602,0.263,1.033
24,6,1.2,0.444,0.25,1.889,0.25,0.807,1.488,0.484,0.263,2.602,0.263,1.033
